,id,node_id,monitor_item,monitor_value,monitor_time
6999,1609055,75714125,disps,-7.647,2018-12-18 21:46:25
7000,1609056,75714126,disps,-11.341,2018-12-18 21:46:36
7001,1609057,75714127,disps,-12.171,2018-12-18 21:46:39
7002,1609058,24,S,1.585,2018-12-18 21:00:00
7003,1609059,24,temp,8.7,2018-12-18 21:00:00
7004,1609060,25,S,-14.545,2018-12-18 21:00:00
7005,1609061,25,temp,8.7,2018-12-18 21:00:00
7006,1609062,26,S,-3.035,2018-12-18 21:00:00
7007,1609063,26,temp,8.7,2018-12-18 21:00:00
7008,1609066,29,humidity,72.2,2018-12-18 21:43:18
7009,1609067,29,air-temp,9.3,2018-12-18 21:43:18
7010,1609068,29,wind_speed,0.6,2018-12-18 21:43:18
7011,1609069,29,wind-dir-v,237.0,2018-12-18 21:43:18
7012,1609070,29,wind_dir,11.0,2018-12-18 21:43:18
7013,1609071,29,wind-dir-v,237.0,2018-12-18 21:43:18
7014,1609072,29,wind_speed,0.6,2018-12-18 21:43:18
7015,1609073,29,humidity,72.2,2018-12-18 21:43:18
7016,1609074,29,air-temp,9.3,2018-12-18 21:43:18
7017,1609075,29,wind_dir,11.0,2018-12-18 21:43:18
7018,1609076,29,wind_dir,11.0,2018-12-18 21:48:18
7019,1609077,29,wind_speed,1.5,2018-12-18 21:48:18
7020,1609078,29,wind-dir-v,243.0,2018-12-18 21:48:18
7021,1609079,29,humidity,73.1,2018-12-18 21:48:18
7022,1609080,29,air-temp,9.1,2018-12-18 21:48:18
7023,1609081,75714124,disps,-7.216,2018-12-18 21:52:13
7024,1609082,75714125,disps,-7.645,2018-12-18 21:52:16
7025,1609083,75714126,disps,-11.364,2018-12-18 21:52:17
7026,1609084,75714127,disps,-12.202,2018-12-18 21:52:20
7027,1609085,29,air-temp,9.1,2018-12-18 21:48:18
7028,1609086,29,wind_speed,1.5,2018-12-18 21:48:18
7029,1609087,29,humidity,73.1,2018-12-18 21:48:18
7030,1609088,29,wind-dir-v,243.0,2018-12-18 21:48:18
7031,1609089,29,wind_dir,11.0,2018-12-18 21:48:18
7032,1609090,29,wind_speed,1.5,2018-12-18 21:48:18
7033,1609091,29,wind_dir,11.0,2018-12-18 21:48:18
7034,1609092,29,air-temp,9.1,2018-12-18 21:48:18
7035,1609093,29,wind-dir-v,243.0,2018-12-18 21:48:18
7036,1609094,29,humidity,73.1,2018-12-18 21:48:18
7037,1609095,29,wind_speed,2.1,2018-12-18 21:53:18
7038,1609096,29,humidity,73.8,2018-12-18 21:53:18
7039,1609097,29,wind-dir-v,232.0,2018-12-18 21:53:18
7040,1609098,29,wind_dir,10.0,2018-12-18 21:53:18
7041,1609099,29,air-temp,8.9,2018-12-18 21:53:18
7042,1609100,75714124,disps,-7.217,2018-12-18 21:56:51
7043,1609101,75714126,disps,-11.363,2018-12-18 21:56:52
7044,1609102,75714125,disps,-7.638,2018-12-18 21:56:54
7045,1609103,75714127,disps,-12.205,2018-12-18 21:56:55
7046,1609104,29,wind_speed,2.1,2018-12-18 21:53:18
7047,1609105,29,air-temp,8.9,2018-12-18 21:53:18
7048,1609106,29,humidity,73.8,2018-12-18 21:53:18
7049,1609107,29,wind-dir-v,232.0,2018-12-18 21:53:18
7050,1609108,29,wind_dir,10.0,2018-12-18 21:53:18
7051,1609109,29,wind_speed,2.1,2018-12-18 21:53:18
7052,1609110,29,humidity,73.8,2018-12-18 21:53:18
7053,1609111,29,air-temp,8.9,2018-12-18 21:53:18
7054,1609112,29,wind-dir-v,232.0,2018-12-18 21:53:18
7055,1609113,29,wind_dir,10.0,2018-12-18 21:53:18
7056,1609114,29,wind_speed,1.3,2018-12-18 21:58:18
7057,1609115,29,wind_dir,10.0,2018-12-18 21:58:18
7058,1609116,29,air-temp,8.8,2018-12-18 21:58:18
7059,1609117,29,humidity,74.5,2018-12-18 21:58:18
7060,1609118,29,wind-dir-v,233.0,2018-12-18 21:58:18
7061,1609119,16,S,18.087,2018-12-18 22:00:00
7062,1609120,16,temp,8.5,2018-12-18 22:00:00
7063,1609121,17,S,20.056,2018-12-18 22:00:00
7064,1609122,17,temp,8.5,2018-12-18 22:00:00
7065,1609123,18,S,68.219,2018-12-18 22:00:00
7066,1609124,18,temp,8.5,2018-12-18 22:00:00
7067,1609125,19,S,-58.486,2018-12-18 22:00:00
7068,1609126,19,temp,8.5,2018-12-18 22:00:00
7069,1609127,20,S,-6.856,2018-12-18 22:00:00
7070,1609128,20,temp,8.4,2018-12-18 22:00:00
7071,1609129,21,temp,8.4,2018-12-18 22:00:00
7072,1609130,21,S,13.792,2018-12-18 22:00:00
7073,1609131,22,temp,8.4,2018-12-18 22:00:00
7074,1609132,22,S,7.46,2018-12-18 22:00:00
7075,1609135,12,S,25.857,2018-12-18 22:00:00
7076,1609136,12,temp,8.6,2018-12-18 22:00:00
7077,1609137,13,S,-16.501,2018-12-18 22:00:00
7078,1609138,13,temp,8.6,2018-12-18 22:00:00
7079,1609139,14,S,-16.893,2018-12-18 22:00:00
7080,1609140,14,temp,8.6,2018-12-18 22:00:00
7081,1609141,15,S,-0.358,2018-12-18 22:00:00
7082,1609142,15,temp,8.6,2018-12-18 22:00:00
7083,1609143,24,S,4.236,2018-12-18 22:00:00
7084,1609144,24,temp,8.4,2018-12-18 22:00:00
7085,1609145,25,S,-12.425,2018-12-18 22:00:00
7086,1609146,25,temp,8.4,2018-12-18 22:00:00
7087,1609147,26,S,0.936,2018-12-18 22:00:00
7088,1609148,26,temp,8.4,2018-12-18 22:00:00
7089,1609151,75714124,disps,-7.213,2018-12-18 22:01:41
7090,1609152,75714125,disps,-7.636,2018-12-18 22:01:44
7091,1609153,75714126,disps,-11.411,2018-12-18 22:02:05
7092,1609154,75714127,disps,-12.252,2018-12-18 22:02:08
7093,1609155,28,water_velocity,0.0,2018-12-18 22:03:18
7094,1609156,28,volt,11.63,2018-12-18 22:03:18
7095,1609157,28,angl,36.63,2018-12-18 22:03:18
7096,1609158,28,temp,14.4,2018-12-18 22:03:18
7097,1609159,1,incX,0.0372,2018-12-18 22:03:19
7098,1609160,1,temp,5.5,2018-12-18 22:03:19
7099,1609161,1,incY,0.0062,2018-12-18 22:03:19
7100,1609162,45,temp,9.4375,2018-12-18 22:03:21
7101,1609163,29,wind-dir-v,233.0,2018-12-18 21:58:18
7102,1609164,29,wind_speed,1.3,2018-12-18 21:58:18
7103,1609165,29,air-temp,8.8,2018-12-18 21:58:18
7104,1609166,29,humidity,74.5,2018-12-18 21:58:18
7105,1609167,29,wind_dir,10.0,2018-12-18 21:58:18
7106,1609168,6,incY,-0.0078,2018-12-18 22:03:22
7107,1609169,6,incX,-0.0186,2018-12-18 22:03:22
7108,1609170,6,temp,10.1,2018-12-18 22:03:22
7109,1609171,46,temp,9.375,2018-12-18 22:03:48
7110,1609172,2,incX,-0.0022,2018-12-18 22:03:49
7111,1609173,2,temp,9.6,2018-12-18 22:03:49
7112,1609174,2,incY,-0.0445,2018-12-18 22:03:49
7113,1609175,7,incX,-0.0094,2018-12-18 22:03:52
7114,1609176,7,incY,0.0077,2018-12-18 22:03:52
7115,1609177,7,temp,10.1,2018-12-18 22:03:52
7116,1609178,29,air-temp,8.7,2018-12-18 22:03:18
7117,1609179,29,wind_speed,1.5,2018-12-18 22:03:18
7118,1609180,29,humidity,74.5,2018-12-18 22:03:18
7119,1609181,29,wind_dir,11.0,2018-12-18 22:03:18
7120,1609182,29,wind-dir-v,238.0,2018-12-18 22:03:18
7121,1609183,48,temp,9.0,2018-12-18 22:04:18
7122,1609184,3,incX,0.0275,2018-12-18 22:04:19
7123,1609185,3,temp,6.4,2018-12-18 22:04:19
7124,1609186,3,incY,-0.0073,2018-12-18 22:04:19
7125,1609187,8,incY,0.0566,2018-12-18 22:04:22
7126,1609188,8,incX,0.0875,2018-12-18 22:04:22
7127,1609189,8,temp,11.0,2018-12-18 22:04:22
7128,1609190,49,temp,8.8125,2018-12-18 22:04:48
7129,1609191,4,incY,-0.0256,2018-12-18 22:04:49
7130,1609192,4,incX,0.0661,2018-12-18 22:04:49
7131,1609193,4,temp,9.2,2018-12-18 22:04:49
7132,1609194,9,temp,8.7,2018-12-18 22:04:52
7133,1609195,9,incY,-0.0022,2018-12-18 22:04:52
7134,1609196,9,incX,-0.0286,2018-12-18 22:04:52
7135,1609197,50,temp,8.3125,2018-12-18 22:05:18
7136,1609198,5,incX,-0.0212,2018-12-18 22:05:18
7137,1609199,5,temp,8.7,2018-12-18 22:05:18
7138,1609200,5,incY,-0.0217,2018-12-18 22:05:18
7139,1609201,10,incX,-0.045,2018-12-18 22:05:22
7140,1609202,10,temp,5.9,2018-12-18 22:05:22
7141,1609203,10,incY,0.0,2018-12-18 22:05:22
7142,1609204,75714124,disps,-7.227,2018-12-18 22:06:31
7143,1609205,75714125,disps,-7.638,2018-12-18 22:06:34
7144,1609206,75714126,disps,-11.492,2018-12-18 22:07:06
7145,1609207,75714127,disps,-12.345,2018-12-18 22:07:09
7146,1609208,48,SL-DIF,0.521,2018-12-18 22:03:21
7147,1609209,46,SL-DIF,-0.609,2018-12-18 22:03:21
7148,1609210,49,SL-DIF,0.516,2018-12-18 22:03:21
7149,1609211,50,SL-DIF,0.254,2018-12-18 22:03:21
7150,1609212,29,air-temp,8.7,2018-12-18 22:03:18
7151,1609213,29,wind_speed,1.5,2018-12-18 22:03:18
7152,1609214,29,humidity,74.5,2018-12-18 22:03:18
7153,1609215,29,wind-dir-v,238.0,2018-12-18 22:03:18
7154,1609216,29,wind_dir,11.0,2018-12-18 22:03:18
